cost_bps,Strategy,Mean Excess Return,Volatility,Sharpe Ratio,Sortino Ratio,CER (gamma=3.0),Max Drawdown,Turnover,Information Ratio (vs CAPM)
0,CAPM,0.04213930480286624,0.14426482030273838,0.29209688622934754,0.3949394342624141,0.010920797237394149,0.5126956303690166,2.770964562903967,
0,FF3,0.042456912496171874,0.1632909760104004,0.26000770853049276,0.36061692176539306,0.0024609982265281286,0.5935809610452101,5.348582864490201,0.003509638554905167
0,dual_0,0.027846483048678997,0.15507270051139127,0.17957050439470137,0.23283591599603776,-0.008224830617164482,0.5545237435486261,0.796004362406681,-0.18832709041565568
0,dual_0.05,0.045079224019053614,0.16101971195692624,0.279960903365127,0.37208685851007783,0.006188202561016369,0.5545237435486263,0.8026315899458077,0.04354969915620698
0,dual_0.1,0.057651076784422,0.16439624734828498,0.35068365436763377,0.47875514468038777,0.017111887571124258,0.5468693654493262,0.7644619712900329,0.21880514292199799
0,dual_0.15,0.048443484928561806,0.16616025980456317,0.29154675724232004,0.3905963077943556,0.007029637021081912,0.5879875167489004,0.9703551541582827,0.09572023022383792
0,dual_0.2,0.04209917825107165,0.1604591960665272,0.26236687758062255,0.3470571810921802,0.0034784478475973282,0.5492881007555748,0.9297504039748372,-0.0005995500736060346
0,past,0.043886826655094864,0.16140675477940863,0.27190204471351964,0.35994866449372465,0.004808615922464635,0.5908552653254144,0.8173164835124862,0.02794594563248222
0,dual_pca_0,0.06234203436316726,0.16255242873852718,0.3835195502581336,0.5302877404477231,0.02270709622997632,0.5555846335268924,1.0121203486236556,0.2694971383060872
0,dual_pca_0.05,0.057590444544336775,0.17214588642596365,0.33454441311384586,0.46961750630765264,0.01313913522426561,0.6629833944980028,0.7618862038415444,0.19751110929862326
0,dual_pca_0.1,0.055358279099993954,0.17169825382278628,0.3224160867537448,0.45148800220556434,0.01113784355130304,0.6641492665259098,0.66480939689218,0.1704641084736189
0,dual_pca_0.15,0.040054333554677794,0.16343506950330602,0.24507796078532312,0.3264339169764848,-1.2199360647911772e-05,0.6644584636057753,0.7151014757424634,-0.029367788442335018
0,dual_pca_0.2,0.04733622800771908,0.16195670505630835,0.29227705016140854,0.39453761806333487,0.007991266538674997,0.6644584636057755,0.5879121003015145,0.07372275442225076
0,past_pca,0.05386297135405667,0.16956868307212156,0.3176469285377859,0.44362497361418,0.010732663935836266,0.6644584636057753,0.681827677759383,0.14793685782097732
0,dual_pls_0,0.04340356697683145,0.16015890026544025,0.27100315314913065,0.3625263144874671,0.004927256975478599,0.5397364963528068,1.6234100497928168,0.01652104930785693
0,dual_pls_0.05,0.06401721417827982,0.1443193440583803,0.44358027398172956,0.6208460742202971,0.03277510457411811,0.4672904904091102,2.6328348451448487,0.20037641620882307
0,dual_pls_0.1,0.07377113611097612,0.14942123879003724,0.4937125184368024,0.6928974520113582,0.04028107620865212,0.5457213721925267,2.508899719223691,0.30600785379733736
0,dual_pls_0.15,0.07261090520445931,0.1317911881206714,0.5509541740983085,0.829447743418339,0.04655752930507202,0.4594714429603647,2.8477784019157943,0.2940358518243734
0,dual_pls_0.2,0.05130094379221069,0.14595130655122013,0.35149355634036167,0.49130753461580556,0.01934826796619834,0.3994093930965018,1.559784734644436,0.1130231059240945
0,past_pls,0.08755206827700864,0.17111533803264833,0.5116552921766951,0.7302659202064209,0.043631379911967375,0.6561437249635496,1.7927080596768943,0.4309787834689038
0,dual_pca_shap_0,0.06931779705147259,0.1669490362686922,0.41520333750181515,0.5950457480987208,0.02750982598490493,0.4855835704687037,1.5567784097326205,0.30213493583573264
0,dual_pca_shap_0.05,0.07566832033328877,0.1511654869870088,0.5005661136115793,0.7350326958784037,0.04139181364925948,0.34530521925553337,1.5452438210410835,0.41108069384654977
0,dual_pca_shap_0.1,0.08237566172941273,0.17257655322004745,0.47732823603434626,0.699323018374155,0.03770166164744493,0.4601751604765565,1.856345168256179,0.3905118974293998
0,dual_pca_shap_0.15,0.06869878395356016,0.18238719899431602,0.3766645045944322,0.5287231964541353,0.018801148418071817,0.6644584636057755,0.7998960325295774,0.30172652242101244
0,dual_pca_shap_0.2,0.054943839275896474,0.16166966207227634,0.3398525027616695,0.4666133631236899,0.01573821982405043,0.650908584133091,0.8671710008826803,0.15911337276220786
0,past_pca_shap,0.06930251771472076,0.1603281091241515,0.43225431955325905,0.5921289857137837,0.030744863851732016,0.5409161463718535,1.4063499943707465,0.40211093139875254
0,dual_pls_shap_0,0.06705943236229504,0.1491962408636442,0.44947132698593306,0.6704577685527877,0.03367015493053124,0.3591105601887319,1.7890757459032827,0.2913932751279545
0,dual_pls_shap_0.05,0.09522171157376244,0.14902235766641236,0.6389760104783534,0.9958079594972592,0.06191021694707824,0.3642631734339601,2.4372532635246413,0.5324655125254044
0,dual_pls_shap_0.1,0.10424915834155878,0.17596317470042455,0.5924487241097001,0.9128875663681526,0.05780460006558058,0.4449155350951288,1.86746790221473,0.5499868432169676
0,dual_pls_shap_0.15,0.05067742547297943,0.15799349089408765,0.3207564133572534,0.4379070861742074,0.0132345107256292,0.5272832224665903,1.5556207172602092,0.11619139638713802
